id,start_datetime,stop_datetime,region_id,genotype,replicate,uid,t,asleep
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,36900,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,37800,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,38700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,39600,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,40500,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,41400,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,42300,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,43200,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,44100,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,45000,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,45900,0.066666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,46800,0.666666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,47700,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,48600,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,49500,0.666666667
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,50400,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,51300,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,52200,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,53100,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,54000,0.6
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,54900,0.6
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,55800,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,56700,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,57600,0.6
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,58500,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,59400,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,60300,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,61200,0
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,62100,0.733333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,63000,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,63900,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,64800,0.533333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,65700,0.4
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,66600,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,67500,1
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,68400,0.933333333
2025-09-12 12:00:00|MyRunNEWCTM001.txt|01,9/12/25 12:00,9/16/25 11:59,1,w1118,1,1,69300,0.8
